partner,year,Exports,Imports
Monde hors colonies,1789,5136098.0,
Espagne,1789,38458.6553,146974.8003
Angleterre,1789,4881322.060110001,806200.57113
Portugal,1789,41340.533,
Hollande,1789,161531.30629999997,688046.7926510002
Villes hanséatiques,1789,542223.1485999998,473051.13699
États de l'Empereur,1789,410697.21969,3363.722221
Danemark,1789,288263.33660000004,107085.40421
Prusse,1789,51270.63502,61198.0
États-Unis d'Amérique,1789,53529.1659,47931.900200000004
Russie,1789,23034.0,527634.3505
Suède,1789,6009.9834,152835.5
Sénégal,1789,1591040.0,
Saint-Domingue,1789,71418.0,
Indes,1789,38060.0,
Îles françaises de l'Amérique,1789,,7465773.0
Allemagne,1789,,71503.25
Guinée et Sénégal,1789,,47556.0
"Allemagne, Lorraine et Pays de Liège",1750,81467.30001,
Angleterre,1750,1124682.9020999,643097.9961900001
Danemark,1750,573586.299699,123251.898
Espagne et ses colonies,1750,154997.2,41101.301
Flandre,1750,231148.70000900002,
Hollande,1750,981616.9020001999,712781.1997904001
Îles françaises de l'Amérique,1750,4093990.9086189996,9644490.0
Guinée,1750,742121.4999062003,
Italie,1750,291530.90001,
Nord (Hanse et Russie),1750,1214790.1009898,213287.09899
Russie,1750,8757.5,
Suède,1750,20308.399799900002,56227.700000000004
Genève et Suisse,1750,185933.70111000002,
